Situacao,Acao_Imediata,Responsavel,Prazo,Status
Loja de Eletrônicos Online - TechMais recebe reclamação,✅ Registrar ocorrência com protocolo #2025-0912-001,Atendimento + Supervisor,Imediato (feito),Concluído ✅
Cliente Maria Silva reporta golpe Jadlog,✅ Coletar screenshot da mensagem suspeita,Atendimento,Imediato (feito),Concluído ✅
"Valor cobrado R$ 62,87 via WhatsApp",✅ Verificar pedido no sistema (Encontrado: Pedido #45123),Atendimento + TI,1 hora (feito),Concluído ✅
"Cliente não pagou, mas forneceu CPF",✅ Orientar cliente sobre monitoramento CPF,Atendimento + DPO,1 hora (feito),Concluído ✅
Código rastreamento válido foi mencionado,✅ Confirmar código real no sistema da Jadlog,TI + Logística,2 horas (feito),Concluído ✅
Atendimento identifica mais 5 casos similares,✅ Mapear outros clientes com entregas Jadlog (últimos 7 dias),TI + Comercial,4 horas (em andamento),Em Andamento ⏳
DPO SEUSDADOS é acionado imediatamente,✅ Comunicar DPO SEUSDADOS via canal emergencial,Supervisor Geral,2 horas (feito),Concluído ✅
Classificação: RISCO MÉDIO,✅ Suspender novos envios para Jadlog,Logística + DPO,Imediato (feito),Concluído ✅
Jadlog não responde em 24h,✅ Solicitar posicionamento oficial da Jadlog,Comercial + Jurídico,24 horas (pendente),Pendente ⚠️
ANPD deve ser comunicada,✅ Preparar comunicação preliminar ANPD,DPO SEUSDADOS,72 horas úteis,Planejado 📅
Clientes precisam ser notificados,✅ Preparar e-mail para 847 clientes potencialmente afetados,Marketing + DPO,48 horas,Planejado 📅
Medidas preventivas implementadas,✅ Implementar criptografia adicional nos dados,TI + DPO,30 dias,Planejado 📅
